region_id,sciname,class,common,status,year
1,Oceanites oceanicus,aves,Wilson's Storm-petrel,0,2020
1,Nesofregetta fuliginosa,aves,Polynesian Storm-petrel,0.6,2020
1,Onychoprion lunatus,aves,Grey-backed Tern,1,2020
1,Anous ceruleus,aves,Blue Noddy,1,2020
1,Pterodroma neglecta,aves,Kermadec Petrel,0,2020
1,Pterodroma alba,aves,Phoenix Petrel,1,2020
1,Pterodroma cervicalis,aves,White-necked Petrel,0.4,2020
1,Pterodroma heraldica,aves,Herald Petrel,0,2020
1,Pterodroma longirostris,aves,Stejneger's Petrel,0.4,2020
1,Puffinus bailloni,aves,Tropical Shearwater,0,2020
1,Puffinus nativitatis,aves,Christmas Shearwater,1,2020
1,Pterodroma cookii,aves,Cook's Petrel,0.4,2020
1,Pterodroma inexpectata,aves,Mottled Petrel,0.2,2020
1,Pterodroma nigripennis,aves,Black-winged Petrel,0,2020
1,Pterodroma leucoptera,aves,White-winged Petrel,0.4,2020
1,Pterodroma pycrofti,aves,Pycroft's Petrel,0.4,2020
1,Pterodroma sandwichensis,aves,Hawaiian Petrel,0.6,2020
1,Pterodroma solandri,aves,Providence Petrel,0.4,2020
1,Pterodroma ultima,aves,Murphy's Petrel,0.2,2020
1,Sula dactylatra,aves,Masked Booby,0,2020
1,Sula leucogaster,aves,Brown Booby,0,2020
1,Sula sula,aves,Red-footed Booby,0,2020
1,Ardenna bulleri,aves,Buller's Shearwater,0.4,2020
1,Pterodroma brevipes,aves,Collared Petrel,0.4,2020
1,Phaethon rubricauda,aves,Red-tailed Tropicbird,0,2020
1,Anous stolidus,aves,Brown Noddy,0,2020
1,Anous minutus,aves,Black Noddy,1,2020
1,Fregata ariel,aves,Lesser Frigatebird,0,2020
1,Phaethon lepturus,aves,White-tailed Tropicbird,0,2020
1,Ardenna carneipes,aves,Flesh-footed Shearwater,0.2,2020
1,Ardenna pacifica,aves,Wedge-tailed Shearwater,1,2020
1,Ardenna tenuirostris,aves,Short-tailed Shearwater,0,2020
1,Bulweria bulwerii,aves,Bulwer's Petrel,1,2020
1,Fregata minor,aves,Great Frigatebird,0,2020
1,Onychoprion fuscatus,aves,Sooty Tern,0,2020
1,Ardenna grisea,aves,Sooty Shearwater,0.2,2020
1,Phoebastria nigripes,aves,Black-footed Albatross,0.2,2020
1,Hydrobates castro,aves,Band-rumped Storm-petrel,0,2020
1,Hydrobates leucorhous,aves,Leach's Storm-petrel,0.4,2020
1,Puffinus newelli,aves,Newell's Shearwater,0.8,2020
1,Puffinus lherminieri,aves,Audubon's shearwater,1,2020
1,Ablennes hians,actinopterygii,Flat Needlefish,0,2020
1,Acanthurus leucopareius,actinopterygii,Whitebar Surgeonfish,0,2020
1,Acanthurus nigroris,actinopterygii,Bluelined Surgeonfish,0,2020
1,Albula glossodonta,actinopterygii,Shortjaw Bonefish,0.4,2020
1,Aluterus scriptus,actinopterygii,Scribbled Leatherjacket Filefish,0,2020
1,Amanses scopas,actinopterygii,Broom Filefish,0,2020
1,Anampses melanurus,actinopterygii,White-spotted Wrasse,0,2020
1,Aphareus furca,actinopterygii,Small-toothed Jobfish,0,2020
1,Apolemichthys griffisi,actinopterygii,Griffis Angelfish,0,2020
1,Aprion virescens,actinopterygii,Green Jobfish,0,2020
1,Asterropteryx semipunctata,actinopterygii,Star-finned Goby,0,2020
1,Atule mate,actinopterygii,Yellowtail Scad,0,2020
1,Bothus mancus,actinopterygii,Flowery Flounder,0,2020
