layer_name,scenario_year,data_year
sp_genetic,2018,2016
sp_genetic,2019,2017
sp_genetic,2020,2017
species_diversity_3nm,2012,2012
species_diversity_3nm,2013,2013
species_diversity_3nm,2014,2014
species_diversity_3nm,2015,2015
species_diversity_3nm,2016,2016
species_diversity_3nm,2017,2017
species_diversity_3nm,2018,2018
species_diversity_3nm,2019,2019
species_diversity_3nm,2020,2019
species_diversity_eez,2012,2012
species_diversity_eez,2013,2013
species_diversity_eez,2014,2014
species_diversity_eez,2015,2015
species_diversity_eez,2016,2016
species_diversity_eez,2017,2017
species_diversity_eez,2018,2018
species_diversity_eez,2019,2019
species_diversity_eez,2020,2019
ss_spi,2012,2016
ss_spi,2013,2016
ss_spi,2014,2016
ss_spi,2015,2016
ss_spi,2016,2016
ss_spi,2017,2017
ss_spi,2018,2018
ss_spi,2019,2019
ss_spi,2020,2019
ss_wgi,2012,2010
ss_wgi,2013,2011
ss_wgi,2014,2012
ss_wgi,2015,2013
ss_wgi,2016,2014
ss_wgi,2017,2015
ss_wgi,2018,2016
ss_wgi,2019,2017
ss_wgi,2020,2017
tr_jobs_pct_tourism,2008,2008
tr_jobs_pct_tourism,2009,2009
tr_jobs_pct_tourism,2010,2010
tr_jobs_pct_tourism,2011,2011
tr_jobs_pct_tourism,2012,2012
tr_jobs_pct_tourism,2013,2013
tr_jobs_pct_tourism,2014,2014
tr_jobs_pct_tourism,2015,2015
tr_jobs_pct_tourism,2016,2016
tr_jobs_pct_tourism,2017,2017
tr_jobs_pct_tourism,2018,2018
tr_jobs_pct_tourism,2019,2019
tr_jobs_pct_tourism,2020,2019
tr_sustainability,2008,2019
tr_sustainability,2009,2019
tr_sustainability,2010,2019
tr_sustainability,2011,2019
tr_sustainability,2012,2019
tr_sustainability,2013,2019
tr_sustainability,2014,2019
tr_sustainability,2015,2019
tr_sustainability,2016,2019
tr_sustainability,2017,2019
tr_sustainability,2018,2019
tr_sustainability,2019,2019
tr_sustainability,2020,2019
wgi_all,2012,2010
wgi_all,2013,2011
wgi_all,2014,2012
wgi_all,2015,2013
wgi_all,2016,2014
wgi_all,2017,2015
wgi_all,2018,2016
wgi_all,2019,2017
wgi_all,2020,2017
